SQL_TEXT,ELAPSED_TIME
"SELECT ticket_no, COUNT(contact_data) FROM tickets GROUP BY ticket_no",486
"SELECT fare_conditions, aircraft_code FROM seats WHERE fare_conditions = '381423'",680
"SELECT ticket_no, ticket_no FROM ticket_flights WHERE ticket_no = '121938'",623
"SELECT status, flight_id FROM flights WHERE status = '501468'",1414
"SELECT fare_conditions, flight_id FROM ticket_flights WHERE fare_conditions = '618113'",16071
"SELECT passenger_name, passenger_name FROM tickets WHERE passenger_name = '579355'",19366
"SELECT airport_name, airport_name FROM airports_data WHERE airport_name = '501864'",481
"SELECT contact_data, passenger_id FROM tickets WHERE contact_data = '907433'",11223
"SELECT fare_conditions, SUM(ticket_no) FROM ticket_flights GROUP BY fare_conditions",102069
"SELECT t1.aircraft_code, t2.book_ref FROM seats t1 JOIN bookings t2 ON t1.aircraft_code = t2.book_ref",3204
"SELECT boarding_no, seat_no FROM boarding_passes WHERE boarding_no = '869593'",7793
"SELECT coordinates, SUM(city) FROM airports_data GROUP BY coordinates",591
"SELECT t1.fare_conditions, t2.airport_name FROM ticket_flights t1 JOIN airports_data t2 ON t1.fare_conditions = t2.airport_name",48811
"SELECT t1.fare_conditions, t2.city FROM ticket_flights t1 JOIN airports_data t2 ON t1.fare_conditions = t2.city",127446
"SELECT fare_conditions, SUM(seat_no) FROM seats GROUP BY fare_conditions",1636
"SELECT seat_no, MAX(fare_conditions) FROM seats GROUP BY seat_no",817
"SELECT contact_data, contact_data FROM tickets WHERE contact_data = '196054'",8916
"SELECT t1.amount, t2.flight_id FROM ticket_flights t1 JOIN boarding_passes t2 ON t1.amount = t2.flight_id",53734
"SELECT seat_no, AVG(boarding_no) FROM boarding_passes GROUP BY seat_no",41793
"SELECT book_date, book_date FROM bookings WHERE book_date > DATE '2017-07-01'",2515
"SELECT t1.boarding_no, t2.amount FROM boarding_passes t1 JOIN ticket_flights t2 ON t1.boarding_no = t2.amount",108392
"SELECT scheduled_departure, MIN(status) FROM flights GROUP BY scheduled_departure",24906
"SELECT model, MIN(range) FROM aircrafts_data GROUP BY model",557
"SELECT status, MIN(actual_arrival) FROM flights GROUP BY status",5751
"SELECT fare_conditions, fare_conditions FROM seats WHERE fare_conditions = '176600'",1403
"SELECT coordinates, coordinates FROM airports_data WHERE coordinates = '373907'",517
"SELECT total_amount, MAX(book_date) FROM bookings GROUP BY total_amount",35040
"SELECT scheduled_arrival, aircraft_code FROM flights WHERE scheduled_arrival > DATE '2017-06-01'",648
"SELECT range, model FROM aircrafts_data WHERE range = '524123'",707
"SELECT coordinates, SUM(timezone) FROM airports_data GROUP BY coordinates",1578
"SELECT t1.*, t2.* FROM bookings t1 FULL OUTER JOIN seats t2 ON t1.book_ref = t2.aircraft_code",1423
"SELECT flight_id, MIN(fare_conditions) FROM ticket_flights GROUP BY flight_id",114113
"SELECT t1.*, t2.* FROM flights t1 JOIN airports_data t2 ON t1.arrival_airport = t2.coordinates",4719
"SELECT t1.aircraft_code, t2.ticket_no FROM flights t1 JOIN ticket_flights t2 ON t1.aircraft_code = t2.ticket_no",43379
"SELECT t1.*, t2.* FROM flights t1 RIGHT JOIN tickets t2 ON t1.departure_airport = t2.contact_data",10228
"SELECT seat_no, aircraft_code FROM seats WHERE seat_no = '512698'",547
"SELECT aircraft_code, COUNT(model) FROM aircrafts_data GROUP BY aircraft_code",562
"SELECT flight_id, fare_conditions FROM ticket_flights WHERE flight_id = '986553'",16791
"SELECT t1.*, t2.* FROM bookings t1 RIGHT JOIN ticket_flights t2 ON t1.book_ref = t2.fare_conditions",32743
"SELECT t1.airport_name, t2.ticket_no FROM airports_data t1 JOIN ticket_flights t2 ON t1.airport_name = t2.ticket_no",1608
SELECT LOWER(aircraft_code) FROM aircrafts_data,770
"SELECT t1.ticket_no, t2.fare_conditions FROM tickets t1 JOIN seats t2 ON t1.ticket_no = t2.fare_conditions",18031
"SELECT t1.*, t2.* FROM flights t1 LEFT JOIN aircrafts_data t2 ON t1.flight_no = t2.aircraft_code",1331
"SELECT t1.*, t2.* FROM flights t1 JOIN boarding_passes t2 ON t1.departure_airport = t2.seat_no",45119
"SELECT ticket_no, COUNT(flight_id) FROM boarding_passes GROUP BY ticket_no",885
"SELECT t1.ticket_no, t2.aircraft_code FROM boarding_passes t1 JOIN seats t2 ON t1.ticket_no = t2.aircraft_code",23005
"SELECT fare_conditions, ticket_no FROM ticket_flights WHERE fare_conditions = '514371'",16161
"SELECT city, coordinates FROM airports_data WHERE city = '214170'",683
"SELECT t1.passenger_name, t2.seat_no FROM tickets t1 JOIN seats t2 ON t1.passenger_name = t2.seat_no",22580
"SELECT t1.*, t2.* FROM boarding_passes t1 RIGHT JOIN seats t2 ON t1.ticket_no = t2.fare_conditions",18183
"SELECT total_amount, total_amount FROM bookings WHERE total_amount > 358",519
"SELECT city, airport_code FROM airports_data WHERE city = '946114'",1027
SELECT UPPER(passenger_name) FROM tickets,604
"SELECT aircraft_code, COUNT(range) FROM aircrafts_data GROUP BY aircraft_code",463
"SELECT t1.*, t2.* FROM ticket_flights t1 FULL OUTER JOIN aircrafts_data t2 ON t1.ticket_no = t2.model",1708
SELECT UPPER(model) FROM aircrafts_data,939
"SELECT contact_data, AVG(book_ref) FROM tickets GROUP BY contact_data",619
"SELECT t1.*, t2.* FROM aircrafts_data t1 RIGHT JOIN tickets t2 ON t1.model = t2.contact_data",1225
SELECT UPPER(status) FROM flights,587
"SELECT range, range FROM aircrafts_data WHERE range = '566013'",1321
"SELECT aircraft_code, aircraft_code FROM seats WHERE aircraft_code = '549564'",536
"SELECT t1.timezone, t2.aircraft_code FROM airports_data t1 JOIN aircrafts_data t2 ON t1.timezone = t2.aircraft_code",811
SELECT UPPER(coordinates) FROM airports_data,562
"SELECT aircraft_code, seat_no FROM seats WHERE aircraft_code = '113690'",486
"SELECT t1.city, t2.book_ref FROM airports_data t1 JOIN bookings t2 ON t1.city = t2.book_ref",1153
"SELECT t1.*, t2.* FROM boarding_passes t1 RIGHT JOIN airports_data t2 ON t1.seat_no = t2.timezone",38210
"SELECT t1.*, t2.* FROM seats t1 JOIN boarding_passes t2 ON t1.seat_no = t2.seat_no",1377
"SELECT t1.*, t2.* FROM tickets t1 RIGHT JOIN ticket_flights t2 ON t1.book_ref = t2.fare_conditions",87293
"SELECT contact_data, passenger_name FROM tickets WHERE contact_data = '127453'",9072
SELECT UPPER(seat_no) FROM seats,973
"SELECT t1.*, t2.* FROM ticket_flights t1 FULL OUTER JOIN seats t2 ON t1.ticket_no = t2.fare_conditions",1053
"SELECT amount, AVG(fare_conditions) FROM ticket_flights GROUP BY amount",1100
"SELECT seat_no, MIN(flight_id) FROM boarding_passes GROUP BY seat_no",82575
"SELECT t1.aircraft_code, t2.arrival_airport FROM seats t1 JOIN flights t2 ON t1.aircraft_code = t2.arrival_airport",3215
"SELECT t1.*, t2.* FROM flights t1 JOIN aircrafts_data t2 ON t1.flight_no = t2.aircraft_code",3412
"SELECT t1.aircraft_code, t2.coordinates FROM aircrafts_data t1 JOIN airports_data t2 ON t1.aircraft_code = t2.coordinates",780
SELECT LOWER(seat_no) FROM seats,621
"SELECT book_ref, book_date FROM bookings WHERE book_ref = '694766'",764
"SELECT t1.status, t2.aircraft_code FROM flights t1 JOIN aircrafts_data t2 ON t1.status = t2.aircraft_code",4742
"SELECT t1.*, t2.* FROM airports_data t1 FULL OUTER JOIN flights t2 ON t1.city = t2.arrival_airport",2081
"SELECT flight_id, boarding_no FROM boarding_passes WHERE flight_id = '683203'",761
SELECT ROUND(aircraft_code) FROM aircrafts_data,781
"SELECT book_date, total_amount FROM bookings WHERE book_date > DATE '2017-06-01'",619
SELECT LOWER(ticket_no) FROM ticket_flights,686
"SELECT actual_arrival, MAX(actual_departure) FROM flights GROUP BY actual_arrival",4611
SELECT ROUND(flight_no) FROM flights,636
"SELECT range, aircraft_code FROM aircrafts_data WHERE range = '109825'",620
"SELECT fare_conditions, aircraft_code FROM seats WHERE fare_conditions = '160373'",468
SELECT ROUND(amount) FROM ticket_flights,618
"SELECT t1.seat_no, t2.ticket_no FROM seats t1 JOIN boarding_passes t2 ON t1.seat_no = t2.ticket_no",22813
"SELECT t1.*, t2.* FROM boarding_passes t1 RIGHT JOIN ticket_flights t2 ON t1.ticket_no = t2.ticket_no",118124
"SELECT t1.*, t2.* FROM flights t1 FULL OUTER JOIN ticket_flights t2 ON t1.flight_id = t2.flight_id",7796
"SELECT t1.aircraft_code, t2.city FROM aircrafts_data t1 JOIN airports_data t2 ON t1.aircraft_code = t2.city",1042
SELECT ROUND(arrival_airport) FROM flights,2256
"SELECT seat_no, AVG(aircraft_code) FROM seats GROUP BY seat_no",1042
"SELECT ticket_no, book_ref FROM tickets WHERE ticket_no = '955100'",563
"SELECT t1.*, t2.* FROM bookings t1 FULL OUTER JOIN boarding_passes t2 ON t1.book_ref = t2.seat_no",34014
"SELECT passenger_id, MAX(passenger_name) FROM tickets GROUP BY passenger_id",81188
"SELECT seat_no, MAX(aircraft_code) FROM seats GROUP BY seat_no",897
"SELECT t1.*, t2.* FROM aircrafts_data t1 JOIN flights t2 ON t1.range = t2.flight_id",2215
"SELECT fare_conditions, fare_conditions FROM seats WHERE fare_conditions = '945928'",539
"SELECT t1.*, t2.* FROM boarding_passes t1 LEFT JOIN aircrafts_data t2 ON t1.ticket_no = t2.aircraft_code",1452
SELECT ROUND(ticket_no) FROM ticket_flights,703
"SELECT t1.*, t2.* FROM airports_data t1 LEFT JOIN aircrafts_data t2 ON t1.airport_name = t2.model",924
"SELECT t1.model, t2.ticket_no FROM aircrafts_data t1 JOIN boarding_passes t2 ON t1.model = t2.ticket_no",1048
"SELECT t1.book_ref, t2.coordinates FROM bookings t1 JOIN airports_data t2 ON t1.book_ref = t2.coordinates",903
"SELECT book_date, book_ref FROM bookings WHERE book_date > DATE '2017-08-01'",644
"SELECT ticket_no, boarding_no FROM boarding_passes WHERE ticket_no = '964641'",667
SELECT LOWER(flight_id) FROM ticket_flights,690
SELECT ROUND(seat_no) FROM boarding_passes,690
SELECT LOWER(actual_arrival) FROM flights,952
"SELECT book_ref, MIN(passenger_name) FROM tickets GROUP BY book_ref",82588
SELECT UPPER(book_ref) FROM bookings,2038
"SELECT range, SUM(model) FROM aircrafts_data GROUP BY range",1336
SELECT ROUND(ticket_no) FROM boarding_passes,616
"SELECT t1.*, t2.* FROM bookings t1 RIGHT JOIN seats t2 ON t1.book_ref = t2.aircraft_code",8546
"SELECT aircraft_code, aircraft_code FROM aircrafts_data WHERE aircraft_code = '918172'",553
SELECT LOWER(model) FROM aircrafts_data,954
"SELECT departure_airport, AVG(aircraft_code) FROM flights GROUP BY departure_airport",1100
"SELECT t1.ticket_no, t2.seat_no FROM boarding_passes t1 JOIN seats t2 ON t1.ticket_no = t2.seat_no",23860
"SELECT seat_no, aircraft_code FROM seats WHERE seat_no = '804726'",565
"SELECT t1.*, t2.* FROM airports_data t1 JOIN seats t2 ON t1.coordinates = t2.aircraft_code",1245
SELECT ROUND(book_ref) FROM tickets,788
"SELECT model, AVG(range) FROM aircrafts_data GROUP BY model",578
"SELECT t1.seat_no, t2.airport_code FROM seats t1 JOIN airports_data t2 ON t1.seat_no = t2.airport_code",1339
"SELECT timezone, timezone FROM airports_data WHERE timezone = '731657'",765
"SELECT t1.seat_no, t2.model FROM boarding_passes t1 JOIN aircrafts_data t2 ON t1.seat_no = t2.model",24932
SELECT ROUND(aircraft_code) FROM seats,677
"SELECT range, model FROM aircrafts_data WHERE range = '358597'",635
"SELECT city, city FROM airports_data WHERE city = '315418'",702
"SELECT book_date, COUNT(total_amount) FROM bookings GROUP BY book_date",20172
"SELECT total_amount, book_ref FROM bookings WHERE total_amount > 465",567
"SELECT total_amount, book_date FROM bookings WHERE total_amount > 678",771
SELECT UPPER(scheduled_arrival) FROM flights,847
"SELECT t1.*, t2.* FROM airports_data t1 LEFT JOIN flights t2 ON t1.city = t2.flight_no",3300
"SELECT boarding_no, MAX(ticket_no) FROM boarding_passes GROUP BY boarding_no",66246
"SELECT t1.aircraft_code, t2.ticket_no FROM aircrafts_data t1 JOIN ticket_flights t2 ON t1.aircraft_code = t2.ticket_no",8718
"SELECT t1.*, t2.* FROM aircrafts_data t1 RIGHT JOIN bookings t2 ON t1.model = t2.book_ref",2065
"SELECT passenger_name, MIN(ticket_no) FROM tickets GROUP BY passenger_name",55043
"SELECT t1.book_ref, t2.book_ref FROM tickets t1 JOIN bookings t2 ON t1.book_ref = t2.book_ref",540
SELECT ROUND(model) FROM aircrafts_data,1167
"SELECT total_amount, COUNT(book_date) FROM bookings GROUP BY total_amount",14585
"SELECT t1.passenger_name, t2.city FROM tickets t1 JOIN airports_data t2 ON t1.passenger_name = t2.city",40221
"SELECT t1.airport_name, t2.fare_conditions FROM airports_data t1 JOIN seats t2 ON t1.airport_name = t2.fare_conditions",1069
"SELECT t1.*, t2.* FROM tickets t1 JOIN airports_data t2 ON t1.ticket_no = t2.airport_name",1564
SELECT UPPER(departure_airport) FROM flights,766
"SELECT amount, MAX(ticket_no) FROM ticket_flights GROUP BY amount",169123
"SELECT flight_id, status FROM flights WHERE flight_id = '648366'",1248
"SELECT fare_conditions, AVG(ticket_no) FROM ticket_flights GROUP BY fare_conditions",113186
"SELECT fare_conditions, fare_conditions FROM seats WHERE fare_conditions = '627358'",1906
SELECT ROUND(ticket_no) FROM tickets,855
"SELECT t1.ticket_no, t2.aircraft_code FROM tickets t1 JOIN flights t2 ON t1.ticket_no = t2.aircraft_code",19687
"SELECT fare_conditions, seat_no FROM seats WHERE fare_conditions = '303743'",545
"SELECT ticket_no, passenger_name FROM tickets WHERE ticket_no = '897386'",691
"SELECT total_amount, book_ref FROM bookings WHERE total_amount > 961",648
"SELECT t1.aircraft_code, t2.passenger_id FROM aircrafts_data t1 JOIN tickets t2 ON t1.aircraft_code = t2.passenger_id",24676
"SELECT t1.*, t2.* FROM tickets t1 JOIN flights t2 ON t1.book_ref = t2.arrival_airport",42757
"SELECT book_ref, total_amount FROM bookings WHERE book_ref = '573044'",8627
"SELECT flight_id, fare_conditions FROM ticket_flights WHERE flight_id = '296306'",16191
"SELECT range, model FROM aircrafts_data WHERE range = '521254'",1476
SELECT LOWER(flight_id) FROM boarding_passes,634
"SELECT t1.passenger_id, t2.ticket_no FROM tickets t1 JOIN boarding_passes t2 ON t1.passenger_id = t2.ticket_no",73797
"SELECT t1.*, t2.* FROM ticket_flights t1 LEFT JOIN aircrafts_data t2 ON t1.ticket_no = t2.model",966
SELECT ROUND(flight_id) FROM boarding_passes,698
"SELECT t1.ticket_no, t2.airport_code FROM tickets t1 JOIN airports_data t2 ON t1.ticket_no = t2.airport_code",3716
"SELECT amount, COUNT(flight_id) FROM ticket_flights GROUP BY amount",53282
"SELECT t1.airport_code, t2.arrival_airport FROM airports_data t1 JOIN flights t2 ON t1.airport_code = t2.arrival_airport",633
"SELECT t1.ticket_no, t2.seat_no FROM tickets t1 JOIN boarding_passes t2 ON t1.ticket_no = t2.seat_no",72520
"SELECT t1.*, t2.* FROM ticket_flights t1 RIGHT JOIN boarding_passes t2 ON t1.ticket_no = t2.ticket_no",191485
"SELECT ticket_no, AVG(fare_conditions) FROM ticket_flights GROUP BY ticket_no",846
"SELECT status, COUNT(actual_departure) FROM flights GROUP BY status",6839
"SELECT t1.*, t2.* FROM ticket_flights t1 LEFT JOIN seats t2 ON t1.ticket_no = t2.aircraft_code",1111
"SELECT flight_id, flight_id FROM ticket_flights WHERE flight_id = '224603'",28576
"SELECT airport_name, airport_name FROM airports_data WHERE airport_name = '311920'",708
"SELECT t1.*, t2.* FROM boarding_passes t1 RIGHT JOIN ticket_flights t2 ON t1.flight_id = t2.flight_id",78098
"SELECT t1.*, t2.* FROM aircrafts_data t1 LEFT JOIN tickets t2 ON t1.model = t2.book_ref",29853
"SELECT t1.*, t2.* FROM tickets t1 FULL OUTER JOIN aircrafts_data t2 ON t1.passenger_id = t2.model",920
"SELECT aircraft_code, range FROM aircrafts_data WHERE aircraft_code = '911408'",824
"SELECT t1.*, t2.* FROM bookings t1 LEFT JOIN ticket_flights t2 ON t1.book_ref = t2.ticket_no",100130
SELECT LOWER(book_ref) FROM tickets,771
"SELECT t1.aircraft_code, t2.book_ref FROM aircrafts_data t1 JOIN tickets t2 ON t1.aircraft_code = t2.book_ref",21903
"SELECT t1.seat_no, t2.airport_name FROM seats t1 JOIN airports_data t2 ON t1.seat_no = t2.airport_name",1187
"SELECT t1.book_ref, t2.aircraft_code FROM bookings t1 JOIN aircrafts_data t2 ON t1.book_ref = t2.aircraft_code",929
SELECT LOWER(scheduled_arrival) FROM flights,704
"SELECT t1.boarding_no, t2.total_amount FROM boarding_passes t1 JOIN bookings t2 ON t1.boarding_no = t2.total_amount",49968
"SELECT boarding_no, SUM(flight_id) FROM boarding_passes GROUP BY boarding_no",60552
"SELECT timezone, city FROM airports_data WHERE timezone = '962154'",624
"SELECT t1.*, t2.* FROM tickets t1 JOIN airports_data t2 ON t1.book_ref = t2.airport_name",26886
"SELECT t1.flight_no, t2.seat_no FROM flights t1 JOIN boarding_passes t2 ON t1.flight_no = t2.seat_no",32640
"SELECT t1.fare_conditions, t2.ticket_no FROM seats t1 JOIN tickets t2 ON t1.fare_conditions = t2.ticket_no",18088
"SELECT t1.*, t2.* FROM tickets t1 JOIN airports_data t2 ON t1.book_ref = t2.city",29091
"SELECT t1.*, t2.* FROM ticket_flights t1 JOIN boarding_passes t2 ON t1.fare_conditions = t2.ticket_no",158822
"SELECT t1.book_ref, t2.seat_no FROM bookings t1 JOIN seats t2 ON t1.book_ref = t2.seat_no",8043
"SELECT t1.*, t2.* FROM flights t1 LEFT JOIN ticket_flights t2 ON t1.aircraft_code = t2.fare_conditions",75506
SELECT ROUND(book_date) FROM bookings,1481
"SELECT t1.*, t2.* FROM tickets t1 FULL OUTER JOIN seats t2 ON t1.book_ref = t2.fare_conditions",1132
"SELECT timezone, COUNT(city) FROM airports_data GROUP BY timezone",650
"SELECT fare_conditions, seat_no FROM seats WHERE fare_conditions = '120592'",752
"SELECT coordinates, MAX(timezone) FROM airports_data GROUP BY coordinates",652
SELECT ROUND(scheduled_arrival) FROM flights,1012
"SELECT t1.*, t2.* FROM ticket_flights t1 JOIN seats t2 ON t1.fare_conditions = t2.seat_no",56771
"SELECT aircraft_code, fare_conditions FROM seats WHERE aircraft_code = '465938'",576
"SELECT t1.*, t2.* FROM airports_data t1 LEFT JOIN flights t2 ON t1.airport_name = t2.departure_airport",4338
"SELECT t1.*, t2.* FROM tickets t1 LEFT JOIN bookings t2 ON t1.ticket_no = t2.book_ref",48873
"SELECT t1.*, t2.* FROM boarding_passes t1 LEFT JOIN airports_data t2 ON t1.ticket_no = t2.airport_name",998
"SELECT t1.*, t2.* FROM boarding_passes t1 FULL OUTER JOIN aircrafts_data t2 ON t1.ticket_no = t2.model",1231
"SELECT t1.*, t2.* FROM boarding_passes t1 JOIN airports_data t2 ON t1.seat_no = t2.airport_code",35994
"SELECT t1.*, t2.* FROM seats t1 JOIN bookings t2 ON t1.aircraft_code = t2.book_ref",8334
"SELECT flight_no, MIN(scheduled_departure) FROM flights GROUP BY flight_no",5731
"SELECT boarding_no, ticket_no FROM boarding_passes WHERE boarding_no = '899170'",9801
"SELECT t1.*, t2.* FROM flights t1 RIGHT JOIN aircrafts_data t2 ON t1.arrival_airport = t2.model",4508
SELECT LOWER(coordinates) FROM airports_data,844
"SELECT t1.*, t2.* FROM seats t1 RIGHT JOIN aircrafts_data t2 ON t1.fare_conditions = t2.aircraft_code",1364
